2017-01-04 15:47:18,633 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FXCjeu:FXCjeu:0.0.1-SNAPSHOT @ C:\Users\User\git\fxc_jeu\FXC jeu\pom.xml.
2017-01-04 15:47:21,912 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:47:21,941 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\git\fxc_jeu\FXC jeu\src\main\resources
2017-01-04 15:47:21,945 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:47:21,952 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\git\fxc_jeu\FXC jeu\src\test\resources
2017-01-04 15:48:51,620 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-01-04 15:49:00,763 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\User\git\fxc_jeu\FXC jeu
2017-01-04 15:49:00,764 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2017-01-04 15:49:02,822 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:49:02,832 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\git\fxc_jeu\FXC jeu\src\main\resources
2017-01-04 15:49:02,834 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:49:02,843 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\git\fxc_jeu\FXC jeu\src\test\resources
2017-01-04 15:50:05,815 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FXCjeu:FXCjeu:0.0.1-SNAPSHOT @ C:\Users\User\git\fxc_jeu\FXC jeu\pom.xml.
2017-01-04 15:50:06,696 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:50:06,705 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\git\fxc_jeu\FXC jeu\src\main\resources
2017-01-04 15:50:06,708 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:50:06,724 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\git\fxc_jeu\FXC jeu\src\test\resources
2017-01-04 15:50:08,118 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:50:08,126 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\git\fxc_jeu\FXC jeu\src\main\resources
2017-01-04 15:50:08,127 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:50:08,139 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\git\fxc_jeu\FXC jeu\src\test\resources
2017-01-04 15:51:28,138 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FXCjeu:FXCjeu:0.0.1-SNAPSHOT @ C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\pom.xml.
2017-01-04 15:51:28,877 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:51:28,888 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\main\resources
2017-01-04 15:51:28,895 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:51:28,902 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\test\resources
2017-01-04 15:51:30,278 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:51:30,309 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\main\resources
2017-01-04 15:51:30,319 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:51:30,331 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\test\resources
2017-01-04 15:51:35,093 [Worker-21] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu
2017-01-04 15:51:35,093 [Worker-21] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2017-01-04 15:51:46,217 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:51:46,231 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\main\resources
2017-01-04 15:51:46,238 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:51:46,246 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\test\resources
2017-01-04 15:55:17,780 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FXCjeu:FXCjeu:0.0.1-SNAPSHOT @ C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\pom.xml.
2017-01-04 15:55:19,112 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FXCjeu/src
2017-01-04 15:55:19,112 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /FXCjeu/src/test/java because it overlaps with /FXCjeu/src
2017-01-04 15:55:20,642 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:55:20,648 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\main\resources
2017-01-04 15:55:20,650 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 15:55:20,657 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\test\resources
2017-01-04 15:56:15,439 [Worker-14] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu
2017-01-04 15:56:15,441 [Worker-14] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2017-01-04 16:07:00,257 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 16:07:00,263 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\main\resources
2017-01-04 16:07:00,265 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 16:07:00,269 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\test\resources
2017-01-04 16:08:43,152 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 16:08:43,156 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\main\resources
2017-01-04 16:08:43,158 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 16:08:43,168 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\test\resources
2017-01-04 16:10:02,770 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 16:10:02,774 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\main\resources
2017-01-04 16:10:02,775 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 16:10:02,783 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\test\resources
2017-01-04 16:10:11,846 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 16:10:11,875 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\main\resources
2017-01-04 16:10:11,883 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 16:10:11,892 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\test\resources
2017-01-04 16:10:27,675 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 16:10:27,691 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\main\resources
2017-01-04 16:10:27,693 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 16:10:27,707 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\test\resources
2017-01-04 16:11:02,633 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-04 16:11:02,644 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Program Files (x86)\eclipse\Git\fxc_jeu\FXC jeu\src\main\resources
