127.0.0.1 - - [22/Jan/2017:16:01:33 +0100] "GET / HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:34 +0100] "GET /FXCjeu/ HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:35 +0100] "GET /FXCjeu/js/move-top.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:35 +0100] "GET /FXCjeu/js/easing.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:35 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:35 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:39 +0100] "GET /FXCjeu/ HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:39 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:39 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:39 +0100] "GET /FXCjeu/js/move-top.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:39 +0100] "GET /FXCjeu/js/easing.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:39 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:39 +0100] "GET /FXCjeu/fonts/roboto/Roboto-Regular.ttf HTTP/1.1" 200 162876
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:39 +0100] "GET /FXCjeu/images/pattern.jpg HTTP/1.1" 200 12755
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:39 +0100] "GET /FXCjeu/fonts/OpenSans-Regular.ttf HTTP/1.1" 200 217360
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:39 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:39 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:39 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:41 +0100] "POST /FXCjeu/LoginServlet HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:44 +0100] "GET /FXCjeu/accueil.jsp HTTP/1.1" 200 6334
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:44 +0100] "GET /FXCjeu/js/move-top.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:44 +0100] "GET /FXCjeu/js/easing.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:44 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:44 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:44 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:44 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:46 +0100] "GET /FXCjeu/js/easing.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:46 +0100] "GET /FXCjeu/js/move-top.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:46 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:46 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:46 +0100] "GET /FXCjeu/ListeTestsServlet HTTP/1.1" 200 53806
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:46 +0100] "GET /FXCjeu/js/easing.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:46 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
